year,winner_name,category,work_title,data_source
2024,Ronen Bergman,General,,Wikidata
2024,Ronen Zvulun,General,,Wikidata
2024,Brandon Som,Poetry,,Wikidata
2023,Sanaz Toossi,Drama,English,Wikidata
2023,Carl Phillips,Poetry,,Wikidata
2022,James Ijames,Drama,Fat Ham,Wikidata
2022,Walter Hickey,General,How I escaped a Chinese internment camp,Wikidata
2022,Josh Adams,General,How I escaped a Chinese internment camp,Wikidata
2022,Diane Seuss,Poetry,frank: sonnets,Wikidata
2021,Katori Hall,Drama,The Hot Wing King,Wikidata
2021,Natalie Diaz,Poetry,Postcolonial Love Poem,Wikidata
2020,Michael R. Jackson,Drama,A Strange Loop,Wikidata
2020,Jericho Brown,Poetry,,Wikidata
2019,Jackie Sibblies Drury,Drama,,Wikidata
2019,Forrest Gander,Poetry,,Wikidata
2018,Martyna Majok,Drama,Cost of Living,Wikidata
2018,Laurie Skrivan,General,,Wikidata
2018,Hannah McKay,General,,Wikidata
2018,Frank Bidart,Poetry,Half-light,Wikidata
2017,Lynn Nottage,Drama,Sweat,Wikidata
2016,Lin-Manuel Miranda,Drama,Hamilton,Wikidata
2016,Jessica Rinaldi,General,,Wikidata
2016,Peter Balakian,Poetry,,Wikidata
2015,Stephen Adly Guirgis,Drama,Between Riverside and Crazy,Wikidata
2015,Gregory Pardlo,Poetry,,Wikidata
2014,Annie Baker,Drama,The Flick,Wikidata
2014,Vijay Seshadri,Poetry,,Wikidata
2013,Ayad Akhtar,Drama,Disgraced,Wikidata
2013,Sharon Olds,Poetry,,Wikidata
2012,Quiara Alegría Hudes,Drama,Water by the Spoonful,Wikidata
2012,Tracy K. Smith,Poetry,Life on Mars,Wikidata
2011,Bruce Norris,Drama,Clybourne Park,Wikidata
2011,Barbara Davidson,General,,Wikidata
2011,Kay Ryan,Poetry,,Wikidata
2010,Tom Kitt,Drama,Next to Normal,Wikidata
2010,Brian Yorkey,Drama,Next to Normal,Wikidata
2010,Rae Armantrout,Poetry,,Wikidata
2009,Lynn Nottage,Drama,Ruined,Wikidata
2009,Carlotta Gall,General,,Wikidata
2009,Dexter Filkins,General,,Wikidata
2009,Pir Zubair Shah,General,,Wikidata
2009,W. S. Merwin,Poetry,The Shadow of Sirius,Wikidata
2008,Tracy Letts,Drama,August: Osage County,Wikidata
2008,Robert Hass,Poetry,"Time and Materials: Poems, 1997-2005",Wikidata
2008,Philip Schultz,Poetry,,Wikidata
2007,David Lindsay-Abaire,Drama,Rabbit Hole,Wikidata
2007,Jane Spencer,General,,Wikidata
2007,Mei Fong,General,,Wikidata
2007,Natasha Trethewey,Poetry,Native Guard,Wikidata
2006,Claudia Emerson,Poetry,,Wikidata
2005,John Patrick Shanley,Drama,Doubt: A Parable,Wikidata
2005,Ted Kooser,Poetry,,Wikidata
2004,Doug Wright,Drama,I Am My Own Wife,Wikidata
2004,Franz Wright,Poetry,,Wikidata
2003,Nilo Cruz,Drama,Anna in the Tropics,Wikidata
2003,Mary Jordan,General,,Wikidata
2003,Paul Muldoon,Poetry,,Wikidata
2002,Suzan-Lori Parks,Drama,Topdog/Underdog,Wikidata
2002,Ruth Fremson,General,,Wikidata
2002,Carl Dennis,Poetry,,Wikidata
2001,David Auburn,Drama,Proof,Wikidata
2001,Stephen Dunn,Poetry,Different Hours,Wikidata
2000,Donald Margulies,Drama,Dinner with Friends,Wikidata
2000,Janet Reeves,General,,Wikidata
2000,C. K. Williams,Poetry,,Wikidata
1999,Margaret Edson,Drama,Wit,Wikidata
1999,Dave Caulkin,General,,Wikidata
1999,Mark Strand,Poetry,,Wikidata
1998,Paula Vogel,Drama,,Wikidata
1998,Charles Wright,Poetry,,Wikidata
1997,Lisel Mueller,Poetry,,Wikidata
1996,Jonathan Larson,Drama,Rent,Wikidata
1996,Melanie Jayne Burford,General,,Wikidata
1996,Jorie Graham,Poetry,,Wikidata
1995,Horton Foote,Drama,The Young Man from Atlanta,Wikidata
1995,Jacqueline Larma,General,,Wikidata
1995,Philip Levine,Poetry,,Wikidata
1994,Edward Albee,Drama,Three Tall Women,Wikidata
1994,Yusef Komunyakaa,Poetry,,Wikidata
1993,Tony Kushner,Drama,Angels in America,Wikidata
1993,Louise Glück,Poetry,The Wild Iris,Wikidata
1992,Robert Schenkkan,Drama,The Kentucky Cycle,Wikidata
1992,James Tate,Poetry,,Wikidata
1991,Neil Simon,Drama,Lost in Yonkers,Wikidata
1991,David Shaw,General,,Wikidata
1991,Mona Van Duyn,Poetry,,Wikidata
1990,August Wilson,Drama,The Piano Lesson,Wikidata
1990,The Mercury News,General,,Wikidata
1990,Charles Simic,Poetry,The World Doesn't End,Wikidata
1989,Wendy Wasserstein,Drama,The Heidi Chronicles,Wikidata
1989,Richard Wilbur,Poetry,,Wikidata
1988,Alfred Uhry,Drama,Driving Miss Daisy,Wikidata
1988,William Morris Meredith,Poetry,,Wikidata
1987,August Wilson,Drama,Fences,Wikidata
1987,Andrés Oppenheimer,General,,Wikidata
1987,Rita Dove,Poetry,,Wikidata
1986,The Mercury News,General,,Wikidata
