year,winner_name,work_title,data_source
2023,Sanaz Toossi,English,Wikidata
2022,James Ijames,Fat Ham,Wikidata
2021,Katori Hall,The Hot Wing King,Wikidata
2020,Michael R. Jackson,A Strange Loop,Wikidata
2019,Jackie Sibblies Drury,,Wikidata
2018,Martyna Majok,Cost of Living,Wikidata
2017,Lynn Nottage,Sweat,Wikidata
2016,Lin-Manuel Miranda,Hamilton,Wikidata
2015,Stephen Adly Guirgis,Between Riverside and Crazy,Wikidata
2014,Annie Baker,The Flick,Wikidata
2013,Ayad Akhtar,Disgraced,Wikidata
2012,Quiara Alegría Hudes,Water by the Spoonful,Wikidata
2011,Bruce Norris,Clybourne Park,Wikidata
2010,Tom Kitt,Next to Normal,Wikidata
2010,Brian Yorkey,Next to Normal,Wikidata
2009,Lynn Nottage,Ruined,Wikidata
2008,Tracy Letts,August: Osage County,Wikidata
2007,David Lindsay-Abaire,Rabbit Hole,Wikidata
2005,John Patrick Shanley,Doubt: A Parable,Wikidata
2004,Doug Wright,I Am My Own Wife,Wikidata
2003,Nilo Cruz,Anna in the Tropics,Wikidata
2002,Suzan-Lori Parks,Topdog/Underdog,Wikidata
2001,David Auburn,Proof,Wikidata
2000,Donald Margulies,Dinner with Friends,Wikidata
1999,Margaret Edson,Wit,Wikidata
1998,Paula Vogel,,Wikidata
1996,Jonathan Larson,Rent,Wikidata
1995,Horton Foote,The Young Man from Atlanta,Wikidata
1994,Edward Albee,Three Tall Women,Wikidata
1993,Tony Kushner,Angels in America,Wikidata
1992,Robert Schenkkan,The Kentucky Cycle,Wikidata
1991,Neil Simon,Lost in Yonkers,Wikidata
1990,August Wilson,The Piano Lesson,Wikidata
1989,Wendy Wasserstein,The Heidi Chronicles,Wikidata
1988,Alfred Uhry,Driving Miss Daisy,Wikidata
1987,August Wilson,Fences,Wikidata
1985,Stephen Sondheim,Sunday in the Park with George,Wikidata
1985,James Lapine,Sunday in the Park with George,Wikidata
1984,David Mamet,Glengarry Glen Ross,Wikidata
1983,Marsha Norman,"'night, Mother",Wikidata
1982,Charles Fuller,A Soldier's Play,Wikidata
1981,Beth Henley,Crimes of the Heart,Wikidata
1980,Lanford Wilson,Talley's Folly,Wikidata
1979,Sam Shepard,,Wikidata
1978,Donald L. Coburn,The Gin Game,Wikidata
1977,Michael Cristofer,The Shadow Box,Wikidata
1976,Michael Bennett,A Chorus Line,Wikidata
1976,"James Kirkwood, Jr.",A Chorus Line,Wikidata
1976,Marvin Hamlisch,A Chorus Line,Wikidata
1976,Edward Kleban,A Chorus Line,Wikidata
