year,winner_name,work_title,data_source
2024,Ronen Bergman,,Wikidata
2024,Ronen Zvulun,,Wikidata
2022,Walter Hickey,How I escaped a Chinese internment camp,Wikidata
2022,Josh Adams,How I escaped a Chinese internment camp,Wikidata
2018,Laurie Skrivan,,Wikidata
2018,Hannah McKay,,Wikidata
2016,Jessica Rinaldi,,Wikidata
2011,Barbara Davidson,,Wikidata
2009,Carlotta Gall,,Wikidata
2009,Dexter Filkins,,Wikidata
2009,Pir Zubair Shah,,Wikidata
2007,Jane Spencer,,Wikidata
2007,Mei Fong,,Wikidata
2003,Mary Jordan,,Wikidata
2002,Ruth Fremson,,Wikidata
2000,Janet Reeves,,Wikidata
1999,Dave Caulkin,,Wikidata
1996,Melanie Jayne Burford,,Wikidata
1995,Jacqueline Larma,,Wikidata
1991,David Shaw,,Wikidata
1990,The Mercury News,,Wikidata
1987,Andrés Oppenheimer,,Wikidata
1986,The Mercury News,,Wikidata
1980,William Ecenbarger,,Wikidata
1978,Gaylord Shaw,,Wikidata
1977,Raymond Depardon,,Wikidata
1975,Jack Maurice,,Wikidata
1975,Roger Ebert,,Wikidata
1973,François Missen,,Wikidata
1955,James H. McCartney,,Wikidata
1949,Malcolm Johnson,,Wikidata
1924,Frank W. Buxton,,Wikidata
1923,James Silas Pooler Jr.,,Wikidata
1918,Henry Beetle Hough,,Wikidata
1918,Minna Lewinson,,Wikidata
