year,winner_name,work_title,data_source
2024,Brandon Som,,Wikidata
2023,Carl Phillips,,Wikidata
2022,Diane Seuss,frank: sonnets,Wikidata
2021,Natalie Diaz,Postcolonial Love Poem,Wikidata
2020,Jericho Brown,,Wikidata
2019,Forrest Gander,,Wikidata
2018,Frank Bidart,Half-light,Wikidata
2016,Peter Balakian,,Wikidata
2015,Gregory Pardlo,,Wikidata
2014,Vijay Seshadri,,Wikidata
2013,Sharon Olds,,Wikidata
2012,Tracy K. Smith,Life on Mars,Wikidata
2011,Kay Ryan,,Wikidata
2010,Rae Armantrout,,Wikidata
2009,W. S. Merwin,The Shadow of Sirius,Wikidata
2008,Robert Hass,"Time and Materials: Poems, 1997-2005",Wikidata
2008,Philip Schultz,,Wikidata
2007,Natasha Trethewey,Native Guard,Wikidata
2006,Claudia Emerson,,Wikidata
2005,Ted Kooser,,Wikidata
2004,Franz Wright,,Wikidata
2003,Paul Muldoon,,Wikidata
2002,Carl Dennis,,Wikidata
2001,Stephen Dunn,Different Hours,Wikidata
2000,C. K. Williams,,Wikidata
1999,Mark Strand,,Wikidata
1998,Charles Wright,,Wikidata
1997,Lisel Mueller,,Wikidata
1996,Jorie Graham,,Wikidata
1995,Philip Levine,,Wikidata
1994,Yusef Komunyakaa,,Wikidata
1993,Louise Glück,The Wild Iris,Wikidata
1992,James Tate,,Wikidata
1991,Mona Van Duyn,,Wikidata
1990,Charles Simic,The World Doesn't End,Wikidata
1989,Richard Wilbur,,Wikidata
1988,William Morris Meredith,,Wikidata
1987,Rita Dove,,Wikidata
1986,Henry S. Taylor,,Wikidata
1985,Carolyn Kizer,,Wikidata
1984,Mary Oliver,American primitive,Wikidata
1983,Galway Kinnell,,Wikidata
1982,Sylvia Plath,,Wikidata
1981,James Schuyler,,Wikidata
1980,Donald Justice,,Wikidata
1979,Robert Penn Warren,,Wikidata
1978,Howard Nemerov,,Wikidata
1977,James Merrill,Divine Comedies,Wikidata
1976,John Ashbery,Self-portrait in a Convex Mirror,Wikidata
1975,Gary Snyder,,Wikidata
1974,Robert Lowell,,Wikidata
1973,Maxine Kumin,,Wikidata
1972,James Wright,,Wikidata
1971,W. S. Merwin,,Wikidata
1970,Richard Howard,,Wikidata
1969,George Oppen,,Wikidata
1968,Anthony Hecht,,Wikidata
1967,Anne Sexton,,Wikidata
1966,Richard Eberhart,,Wikidata
1965,John Berryman,,Wikidata
1964,Louis Simpson,At the End of the Open Road,Wikidata
1963,William Carlos Williams,,Wikidata
1962,Alan Dugan,,Wikidata
1961,Phyllis McGinley,Times Three: Selected Verse from Three Decades,Wikidata
1960,W. D. Snodgrass,,Wikidata
1959,Stanley Kunitz,,Wikidata
1958,Robert Penn Warren,,Wikidata
1957,Richard Wilbur,,Wikidata
1956,Elizabeth Bishop,,Wikidata
1955,Wallace Stevens,,Wikidata
1954,Theodore Roethke,The Waking,Wikidata
1953,Archibald MacLeish,,Wikidata
1952,Marianne Moore,,Wikidata
1951,Carl Sandburg,,Wikidata
1950,Gwendolyn Brooks,Annie Allen,Wikidata
1949,Peter Viereck,,Wikidata
1948,W. H. Auden,The Age of Anxiety,Wikidata
1947,Robert Lowell,Lord Weary's Castle,Wikidata
1945,Karl Shapiro,,Wikidata
1944,Stephen Vincent Benét,,Wikidata
1943,Robert Frost,A Witness Tree,Wikidata
1942,William Rose Benét,Q30916169,Wikidata
1941,Leonard Bacon,Sunderland Capture,Wikidata
1940,Mark Van Doren,,Wikidata
1939,John Gould Fletcher,,Wikidata
1938,Marya Zaturenska,,Wikidata
1937,Robert Frost,A Further Range,Wikidata
1936,Robert P. T. Coffin,,Wikidata
1935,Audrey Wurdemann,Bright Ambush,Wikidata
1934,Robert Hillyer,,Wikidata
1933,Archibald MacLeish,,Wikidata
1932,George Dillon,,Wikidata
1931,Robert Frost,Collected Poems of Robert Frost,Wikidata
1930,Conrad Aiken,,Wikidata
1929,Stephen Vincent Benét,,Wikidata
1928,Edwin Arlington Robinson,,Wikidata
1927,Leonora Speyer,Fiddler's Farewell,Wikidata
1926,Amy Lowell,,Wikidata
1925,Edwin Arlington Robinson,The Man Who Died Twice,Wikidata
1924,Robert Frost,New Hampshire,Wikidata
1923,Edna St. Vincent Millay,,Wikidata
1922,Edwin Arlington Robinson,Collected Poems,Wikidata
1919,Carl Sandburg,Cornhuskers,Wikidata
1919,Margaret Widdemer,The Old Road to Paradise,Wikidata
1918,Sara Teasdale,Love Songs,Wikidata
